Title,Company,Location,Stipend,Duration,Description,IS_Scam
Law/Legal,UNICORN INFRA GROUP,Ahmedabad,"₹ 15,000 - 20,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Drafting legal sale deeds
2. Conducting land record verification and checks
3. Assisting with the mutation of registered deeds",0
Full Stack Development,Reyaa Technologies,Ahmedabad,"₹ 6,000 - 12,000 /month",6 Months,"As a Full Stack Development intern at Reyaa Technologies, you will have the exciting opportunity to work with cutting-edge technologies such as Laravel, React, and Next.js. Join our dynamic team and gain valuable hands-on experience in software development while contributing to innovative projects that make a real impact.

Selected intern's day-to-day responsibilities include:

1. Collaborate with our team of developers to design and implement new features for our web applications using Laravel and Next.js.
2. Develop and maintain front-end components using React to create a seamless user experience.
3. Participate in code reviews and provide valuable feedback to improve overall code quality.
4. Troubleshoot and debug issues to ensure smooth performance of our applications.
5. Stay updated on the latest industry trends and best practices in full-stack development.
6. Assist in testing and quality assurance processes to deliver high-quality software products.
7. Contribute to the overall success of our projects by demonstrating creativity, problem-solving skills, and a passion for technology.

If you are a motivated and eager learner with a strong foundation in Laravel, React, and Next.js, we want to hear from you! Take the first step towards a rewarding career in software development by joining Reyaa Technologies today. Apply now and be a part of our innovative team!",0
Social Media Marketing,Skillinabox Learning Solutions Private Limited,Noida,"₹ 10,000 - 15,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Develop and implement social media marketing strategies to increase brand awareness and drive engagement.
2. Create compelling content for social media platforms, including Instagram, to showcase our products and services.
3. Monitor and analyze social media performance metrics to track the success of campaigns and initiatives.
4. Collaborate with the marketing team to brainstorm and execute creative ideas for social media campaigns.
5. Engage with followers and respond to comments and messages in a timely and professional manner.
6. Stay up-to-date on social media trends and best practices to ensure our strategies are effective and relevant.
7. Assist with other marketing tasks and projects as needed to support the overall goals of the company.",0
Equity Research,Business Quant,Work from home,"₹ 3,000 /month",4 Months,"Selected intern's day-to-day responsibilities include: 

1. Extract and store financial results for US firms from their quarterly and annual filings.
2. Perform analytics on the extracted data.
3. Conduct industry research, market share, peer analysis, etc.
4. Prepare equity research reports.",0
N/A,N/A,N/A,N/A,N/A,N/A,0
Sales & Marketing Consultant,NGSAA FASHION PRIVATE LIMITED,"Bhubaneswar, Dhenkanal, Odisha                                                                (Hybrid)","₹ 20,000 - 50,000 /month",1 Month,"Selected intern's day-to-day responsibilities include:

1. Qualify leads and initiate contact with potential clients.
2. Explain products or services clearly and effectively.
3. Follow up with prospects and build long-term relationships.
4. Enter and manage data in CRM systems and maintain accurate reports.
5. Close deals where possible or escalate to senior team members when required.

Note: This internship spans across three sectors     fashion, properties, and analytics.",0
Telecalling,Delhi Film Academy,Delhi,"₹ 7,000 - 24,000 /month",2 Months,"Selected intern's day-to-day responsibilities include: 

1. Update the information about our courses.
2. Respond to our enquiries.
3. Maintain business WhatsApp.",0
Operations,Fitness 2020,Work from home,"₹ 5,000 - 12,000 lump sum",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Conducting data-driven research on platforms like LinkedIn, Facebook, and Instagram.
2. Helping with the day-to-day operations of Fitness 2020.
3. Handling the end-to-end vendor research and finalization.
4. Cold-calling to drive more leads.",0
News Writer (Experienced),Renske Technologies Inc,Work from home,"₹ 18,000 - 23,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Research and write clear, concise, and engaging news articles daily.
2. Cover breaking news, trends, and developments relevant to our niche.
3. Ensure factual accuracy, proper sourcing, and unbiased reporting.
4. Edit and proofread your content for grammar, tone, and flow.
5. Work with editors to meet tight deadlines.
6. Optimize articles for SEO and readability.
7. Ability to write catchy headlines and concise summaries.",0
Mentor - Data Structures & Algorithm - CipherSchools,CipherSchools,"Chandigarh, Gurgaon, Mohali, Greater Noida, Noida, Punjab","₹ 60,000 - 80,000 /month",4 Months,"Selected intern's day-to-day responsibilities include:

1. Conduct interactive in-person sessions to teach  DSA concepts and problem-solving strategies.
2. Design and deliver lectures on  data structures, algorithms, and coding techniques  relevant to  technical interviews and foundational problem-solving.
3. Create and manage  coding exercises, assignments, and mini-assessments  to strengthen students' understanding of DSA.
4. Provide  personalized feedback and guidance  to help students improve their approach, logic, and code efficiency.
5. Mentor students on how to  analyze problems, implement optimal solutions, and prepare for  interview scenarios.
6. Stay updated with the latest  interview trends and common DSA questions, and incorporate those into teaching sessions.
7. Evaluate student progress  through regular quizzes, assignments, and practice questions, and offer constructive feedback.
8. Collaborate with other mentors to  develop and refine a structured, industry-relevant DSA curriculum.",0
Content and Social Media Marketing,Kiren Smart Services Private Limited,Delhi,"₹ 6,000 - 15,000 /month",3 Months,"As a Social Media Intern at Kiren Smart Services Private Limited, you will have the opportunity to work on exciting digital projects that will sharpen your skills in content creation, reels editing, and social media strategy.

Key responsibilities:

1. Creating engaging posts, stories, and reels using your face for platforms like Instagram, Facebook, and LinkedIn.
2. Assisting in planning and executing content calendars to maintain a consistent brand presence.
3. Researching trends, audio, and viral content ideas to implement in reels and campaigns.
4. Capturing and editing short-form video content using mobile editing apps or tools like CapCut, InShot, etc.
5. Writing creative captions, selecting hashtags, and maintaining brand tone across channels.
6. Coordinating with the design and strategy teams to align visual and messaging elements.
7. Monitoring performance and suggesting improvements based on insights and analytics.

If you are a confident, creative, and enthusiastic individual comfortable in front of the camera     with a flair for content creation, trending reels, and social media storytelling     this internship is the perfect platform to learn, grow, and make a real impact. 
Apply now and become a part of our young and vibrant digital team!
Let me know if you want to adjust the tone, length, or add work-from-office details.",0
Finance,TaxBlock India Private Limited,Pune,"₹ 6,000 - 10,000 /month",3 Months,"We are looking for a motivated and detail-oriented finance Intern to join our dynamic team. This internship is designed for MBA students who are looking to gain hands-on experience in income tax preparation and filing. As an intern, you will work closely with experienced tax professionals, assisting in various tasks related to tax filings, research, and compliance.  

Selected intern's day-to-day responsibilities include: 

1. Assist in the preparation and filing of income tax returns (individual, corporate, etc.) under the supervision of senior team members.
2. Conduct research on the latest tax laws, regulations, and compliance requirements.
3. Assist with gathering, organizing, and reviewing clients' financial documents for tax preparation. 
4. Prepare tax-related documents and ensure compliance with applicable laws and regulations. 
5. Assist in performing tax calculations and identifying potential deductions, exemptions, and credits. 
6. Support the team in managing tax audits, notices, and other client correspondence.
7. Participate in meetings and discussions with clients (if applicable) and assist in offering recommendations on tax planning strategies. 
8. Assist with ad-hoc tax-related projects and administrative tasks as needed.",0
Social Media Marketing,Ouse Off Frame,Mumbai,"₹ 7,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Generate a content calendar to plan and schedule posts effectively.
2. Create and design an engaging Instagram grid layout.
3. Understand client requirements and conduct competitive analysis.",0
Book Curation & Allocation,A Box Of Stories,Work from home,"₹ 8,000 /month",2 Months,"Are you a book lover with a passion for discovering hidden literary gems? A Box Of Stories is looking for a talented fiction book curation & allocation intern to join our team! As an intern, you will have the exciting opportunity to delve into a treasure trove of books, curate unique fiction selections, and allocate them to our subscription boxes.

Selected intern's day-to-day responsibilities include:

1. Dive into our extensive collection of fiction books to select captivating stories that will delight our customers
2. Collaborate with our team to create themed book selections that will surprise and inspire readers
3. Assist in organizing inventory to ensure timely and accurate allocation of books
4. Work closely with our publishing team to secure new and exciting book options for our subscribers
5. Help in crafting engaging marketing content to promote our curated book selections
6. Provide excellent customer service by responding to inquiries and feedback from subscribers
7. Contribute innovative ideas to enhance our book curation process and improve customer satisfaction

If you are a creative, detail-oriented individual with a love for literature, this internship is the perfect opportunity for you to gain hands-on experience in the book industry. Join us at A Box Of Stories and be a part of bringing joy and discovery to readers around the world!",0
Administration,Grad-Assist,Pune,"₹ 8,000 - 10,000 /month",3 Months,"Are you a motivated individual looking to gain hands-on experience in administration? Look no further! Grad-Assist is seeking an Administration Intern to join our dynamic team. If you are proficient in MS Office Suite, have excellent spoken and written English skills, and are eager to learn all aspects of administration, then this is the perfect opportunity for you. 

Selected intern's day-to-day responsibilities include:

1. Assist with organizing and maintaining office files and documents
2. Prepare and edit correspondence, reports, and presentations using MS Word, PowerPoint, and Excel
3. Support the team with scheduling meetings and appointments
4. Assist in managing email correspondence and phone calls
5. Help with data entry and updating databases
6. Collaborate with team members on various administrative tasks
7. Contribute creative ideas to improve office efficiency and productivity

Join us at Grad-Assist and kickstart your career in administration! Apply now and gain valuable skills in a fast-paced environment.",0
N/A,N/A,N/A,N/A,N/A,N/A,0
E-Commerce Sales,D'ART STUDIO,Delhi,"₹ 4,000 - 5,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Maintain, update, and optimize the company website for performance and user experience.
2. Implement SEO strategies to improve search engine visibility and traffic.
3. Drive initiatives to increase product or service sales through digital channels.
4. Identify and explore new avenues and strategies for boosting overall sales.",0
Mentor - Competitive Programming - CipherSchools,CipherSchools,"Chandigarh, Gurgaon, Mohali, Greater Noida, Noida, Punjab","₹ 60,000 - 80,000 /month",4 Months,"Selected intern's day-to-day responsibilities include:

1. Conduct interactive in-person sessions to teach competitive programming concepts and problem-solving strategies.
2. Design and deliver lectures on algorithms, data structures, and coding techniques relevant to competitive programming.
3. Create and manage coding challenges and mock contests to prepare students for real-world competitions.
4. Provide  personalized  feedback and guidance to students to enhance their coding skills and efficiency.
5. Mentor students on how to approach coding problems, optimize solutions, and improve their time management during contests.
6. Stay updated with the latest trends in competitive programming and incorporate  best practices  into the curriculum.
7. Evaluate student progress through regular assessments and provide constructive feedback.
8. Collaborate with other mentors to develop a structured, up-to-date curriculum.",0
Mentor - Dynamic Programming - CipherSchools,CipherSchools,"Chandigarh, Gurgaon, Mohali, Greater Noida, Noida, Punjab","₹ 60,000 - 80,000 /month",4 Months,"Selected intern's day-to-day responsibilities include:

1. Conduct interactive in-person sessions to teach  Dynamic Programming (DP)  concepts and problem-solving techniques.
2. Design and deliver lectures on foundational and advanced DP topics such as memorization, tabulation, state optimization, and classical DP problems.
3. Create and manage problem sets and coding challenges focused specifically on DP to help students build mastery.
4. Provide personalized feedback on students' DP solutions, including optimization tips and alternative approaches.
5. Mentor students on how to break down complex problems into subproblems and identify overlapping substructures and optimal substructure properties.
6. Stay updated with the latest problem patterns and techniques in DP and integrate them into teaching strategies.
7. Evaluate student understanding through quizzes, contests, and one-on-one code reviews, offering constructive feedback for improvement.
8. Collaborate with other mentors to refine and enhance the Dynamic Programming module within the broader curriculum.",0
Business News Anchor (English),Dofin Tech Private Limited,Work from home,"₹ 12,000 - 18,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Present live and recorded business-focused news bulletins.
2. Script, edit and fact-check stories for clarity, accuracy and brevity.
3. Conduct on-camera interviews with founders, economists and policy experts.
4. Work closely with the research desk to validate financial data and market moves.
5. Collaborate with the social-video team to produce short reels and X/Twitter clips.",0
Fundraising Volunteer,Odisha Development Management Programme (ODMP),Work from home,"₹ 500 - 5,000 /week",1 Week,"Selected intern's day-to-day responsibilities include:

1. Promoting awareness of the organization's mission and work
2. Identifying prospective donors
3. Tracking the potential donors and inspiring them to donate
4. Raising funds to support the waste pickers and their families 
5. Maintaining the records of the donors",0
Content and Social Media Marketing,Medtravel.Ai,Work from home,"₹ 12,000 - 15,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Plan and manage content calendars for Instagram, LinkedIn, and X.
2. Create and publish 20-25 high-quality, platform-specific posts per month (mix of reels, graphics, carousels, etc.).
3. Work closely with the founder to align content with brand tone and messaging.
4. Develop and execute a monthly social media strategy focused on engagement and growth.
5. Track performance metrics and adjust strategy based on insights.
6. Manage basic updates and content refreshes on our website (Webflow/Wix/WordPress or similar).
7. Stay on top of trends in healthcare, medical tourism, and social media.",0
Partner And Customer Empathy (PACE),OIT,Bangalore                                                                (Hybrid),"₹ 20,000 - 25,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Set up and manage workflows for customer service. 
2. Act as the first point of contact for user queries, grievances, and feedback. 
3. Funnel qualitative feedback to product and tech teams for continuous improvement. 
4. Maintain service quality by coordinating with supply partners. 
5. Collaborate with cross-functional teams to enhance service delivery. 
6. Analyze user complaints and proactively reduce recurring issues. 
7. Help manage day-to-day order fulfillment for pooja and astrology services. 
8. Support onboarding, training, & nurturing of partners (e.g., pandits, astrologers) to ensure consistency & quality in delivery. 
9. Assist in acquiring new supply partners across service categories and geographies based on demand (e.g., regional astrologers, temple partners, or language-specific experts). 
10. Track supply-side performance and help implement improvement plans or corrective actions where needed. 
11. Contribute to documentation and refinement of internal SOPs for both user and supply operations.",0
Subject Matter Expert (SME),Learn & Care,Work from home,"₹ 5,000 - 30,000 /month",2 Months,"Selected intern's day-to-day responsibilities include:

1. Solve subject-related questions.
2. Check the quality of solutions submitted by tutors working with us.
3. Prepare technical lab reports.
4. Use CATIA software effectively (must be installed on the PC).",0
Customer Acquisition,Rural Development Society,Work from home,"₹ 1,000 - 3,500 /month",2 Weeks,"Selected intern's day-to-day responsibilities include: 

1. Collaborate with the marketing team to create and implement customer acquisition strategies
2. Identify target audiences and devise outreach plans to engage new supporters
3. Manage social media platforms to increase visibility and engagement
4. Assist in the creation of compelling content for various online channels
5. Foster relationships with existing supporters, explore new opportunities for engagement, and find max donors
6. Attend virtual or local events to represent the NGO and attract potential supporters
7. Track and analyze key performance indicators (KPIs) to measure the success of acquisition campaigns
8. Provide insights and recommendations for continuous improvement",0
Online Elementary Education For School Kids.,Vikalp India Private Limited,Work from home,"₹ 6,000 - 9,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Conduct online interactive classes during the daytime.
2. Conduct assessments.
3. Conduct PTMs.",0
Accounts,Patar's Mushroom Farm,Guwahati,"₹ 2,500 - 3,500 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Assist in preparing financial statements and reports.
2. Perform data entry and maintain accurate financial records.
3. Conduct financial analysis and provide insights to improve business performance.
4. Support in budgeting and forecasting activities.
5. Collaborate with the finance team on ad-hoc projects.
6. Utilize MS-Excel to analyze and present financial data.
7. Learn and grow in a supportive and nurturing work environment.",0
Social Entrepreneurship,Pawzz Foundation,Work from home,"₹ 1,500 - 8,000 /month",1 Month,"Are you passionate about creating social impact while developing entrepreneurial skills? Join Pawzz as a Social Entrepreneurship Intern, where you will work at the intersection of fundraising, community outreach, and business strategy to drive sustainable growth for a cause. This role is designed for self-driven individuals who want to learn how to maximize existing resources, develop new opportunities, and generate revenue through innovative strategies.

Selected intern's day-to-day responsibilities include:

1. Develop and implement innovative fundraising strategies to attract donors and increase revenue.
2. Identify and engage with potential supporters, sponsors, and corporate partners.
3. Leverage digital platforms, email outreach, and social media marketing to promote ongoing campaigns.
4. Expand Pawzz's reach by networking with individuals, universities, and communities.
5. Design and execute impact-driven campaigns to build a sustainable fundraising model.
6. Maintain and update donor and prospect databases for efficient follow-ups.
7. Strategically market Pawzz's initiatives, ensuring long-term donor retention.

Perks:

1. Gain hands-on experience in social impact strategy, fundraising, donor relations, and sustainable development, equipping you with entrepreneurial skills for nonprofit and social enterprise growth.
2. Upon successful completion of your role, receive a valuable LOR and experience certificate to strengthen your resume.
3. Play an active role in developing innovative fundraising campaigns, building partnerships, and driving long-term impact through creative outreach strategies.
4. Earn a stipend based on your contributions to fundraising and community engagement efforts.

This internship offers a unique opportunity to develop business acumen while creating a meaningful impact. If you're eager to learn, innovate, and contribute to a social cause, apply now and become a part of a mission that drives change!",0
Rockstar Video Editor (WFH),ScaleMyStartup,Work from home,"₹ 6,500 /month",5 Months,"Are you a creative genius with a passion for video editing? We are looking for a video editing rock star (intern) to join our team at ScaleMyStartup! As an intern, you will have the opportunity to work on exciting global projects and gain hands-on experience in a fast-paced environment.

Selected intern's day-to-day responsibilities include:

1. Assist in editing and producing high-quality videos for our marketing campaigns.
2. Collaborate with our creative team to brainstorm ideas and concepts for video content.
3. Edit raw footage to create engaging and visually appealing videos that align with our brand.
4. Add music, sound effects, and animations to enhance the overall quality of the videos.
5. Ensure all videos are delivered on time and meet our company's standards for quality.
6. Stay up-to-date on the latest trends and technologies in video editing to continuously improve your skills.
7. Provide feedback and suggestions for ways to improve our video content and processes.

If you are a self-motivated individual with a keen eye for detail and a strong passion for video editing, we want to hear from you! Join us on this exciting journey and take your video editing skills to the next level. Apply now to be our next Video Editing Rockstar (Intern)!",0
Digital Marketing,Future Sales Pvt Ltd,Ahmedabad,"₹ 8,000 - 10,500 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Make a monthly content calendar.
2. Activate the LinkedIn Page and regular posting on the same.",0
Junior UI/UX Designer (Fresher),Flightkite,Work from home,"₹ 8,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Collaborate with the product and development teams to design intuitive UI for web and mobile platforms
2. Create wireframes, mockups, user flows, and high-fidelity UI designs in  Figma
3. Design visual assets, icons, and marketing creatives using  Adobe Illustrator
4. Apply strong attention to detail in layout, alignment, spacing, and typography
5. Ensure consistency in branding, design systems, and user experience across all screens
6. Receive and implement feedback quickly while maintaining design quality
7. Contribute creative ideas that enhance user experience and visual engagement",0
Artificial Intelligence (AI),Coding Junior,Work from home,"₹ 5,000 /month",6 Months,"As an artificial intelligence (AI) intern at Coding Junior, you will have the opportunity to work on cutting-edge projects and gain hands-on experience in the field of AI. If you are proficient in Python, data structures, machine learning, data science, neural networks, natural language processing (NLP), and deep learning, this internship is perfect for you.

Selected intern's day-to-day responsibilities include:

1. Assist in developing AI models and algorithms to solve complex problems.
2. Conduct research on AI technologies and trends to provide insights for project development.
3. Collaborate with team members to design and implement AI solutions.
4. Test and optimize AI models to ensure accuracy and efficiency.
5. Analyze and interpret data to extract meaningful insights for decision-making.
6. Stay up-to-date with the latest advancements in AI and implement best practices.
7. Present findings and recommendations to stakeholders in a clear and concise manner. 

Join us at Coding Junior and take your AI skills to the next level!",0
Graphic Design,Shubham Bajpai,Delhi,"₹ 10,000 - 15,000 /month",3 Months,"Are you a creative individual with a passion for graphic design and video editing? Sorted.inc is seeking a talented graphic design intern to join our dynamic team! As an intern, you will have the opportunity to work with industry professionals, enhance your skills, and gain valuable hands-on experience in a fast-paced environment.

Selected intern's day-to-day responsibilities include:

1. Collaborate with the design team to create engaging visual content for social media, website, and marketing materials.
2. Assist in the production of videos, including editing footage, adding music, and creating animations.
3. Use Adobe Photoshop and Illustrator to design graphics, logos, and other visual elements.
4. Contribute innovative ideas and concepts to enhance the company's brand image.
5. Maintain organized files and assets, ensuring all designs are easily accessible for future projects.
6. Stay up-to-date with current design trends and techniques to consistently produce high-quality work.
7. Take on additional tasks and projects as needed to support the team and company goals.

If you are a motivated self-starter with a strong eye for detail and a desire to learn and grow in the field of graphic design, we want to hear from you! Join Sorted.inc and unleash your creativity today. Apply now!",0
CA Articleship,SUMAN KUMAR AGARWAL & ASSOCIATES,Kolkata,"₹ 8,500 - 25,000 /month",24 Months,"Selected intern's day-to-day responsibilities include: 

1. Manage ROC-related work, including filings and compliance requirements.
2. Handle GST and Income Tax-related tasks, ensuring accurate filings and adherence to regulations.
3. Facilitate corporate funding processes, including preparing project reports and conducting stock audits.",0
Software Development,The Super Focus Club,Work from home,"₹ 20,000 - 35,000 /month",4 Months,"You should be a champion in using AI to build products. It's okay that you may not have all the knowledge, but please apply even if you know one thing well. We are hiring for multiple positions, and you are not expected to know everything. 

Selected intern's day-to-day responsibilities include: 

1. Understand the requirements and create workable prototypes. 
2. Develop applications in the MERN (MongoDB, React, Node.js, Next.js) stack technologies or Flutter ( Android, iOS ), whichever is suitable for you.
3. End-to-End Development and Deployment Skills. Git, AWS
4. Write bug-free, clean and understandable code. 
5. Collaborate with other senior developers.

We are looking for multiple positions. You may be a full-stack engineer, a Flutter engineer, or just an engineer who wants to learn. Please do apply. We will evaluate your application and get back to you. Please don't forget to add a cover letter.",0
Front End Development,Meteoros Automation,Chennai                                                                (Hybrid),"₹ 3,500 - 7,500 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Design & develop slick, user-friendly UIs that work beautifully across devices
2. Hook up real-time APIs to bring IoT dashboards, devices, and data to life
3. Build dynamic visualizations (think real-time graphs, alerts, device status, etc.)
4. Collaborate with designers & backend devs to bring seamless, intuitive UX to users
5. Optimize performance for live IoT data streams & massive datasets
6. Ensure mobile-first & cross-browser compatibility so things ""just work"" everywhere
7. Write clean, testable code and contribute to our reusable UI component library
8. Participate in code reviews and level up your frontend engineering skills

Mindset we love:

1. You're curious, self-driven, and love picking up new tools & frameworks on the fly
2. You care about design as much as code: pixel-perfect meets functional
3. You believe in writing clean, modular, and testable code
4. You're proactive and not afraid to ask questions or suggest better solutions
5. You love building things that people use: and seeing your work go live
6. You thrive in fast-paced environments where you can learn and ship fast",0
Online Marathi Faculty For School Kids.,Vikalp India Private Limited,Work from home,"₹ 5,000 - 8,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Create online interactive Marathi classes.
2. Conduct daily lessons according to SCERT.
3. Focus on doubt-solving.
4. Communicate regularly with parents.",0
AWS DevOps Engineer,TwiLearn EduTech Private Limited,Work from home,"₹ 7,500 - 15,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

Handle specific responsibilities as assigned by the team.
Learn and use containerization technologies.
Work with cloud platforms such as AWS, Azure, or GCP.",0
Travel Agent – IATA Qualified (Amadeus GDS),Flightkite,Work from home,"₹ 8,000 - 10,000 /month",6 Months,"We are looking for a  confident and experienced IATA-certified travel agent  to support our growing online travel agency. You must be skilled in  Amadeus GDS  (or any major GDS) and able to work independently to manage bookings and apply for our  IATA GoLite or GoStandard accreditation.

Selected intern's day-to-day responsibilities include:

1. Apply for IATA GoLite or GoStandard accreditation
2. Handle flight bookings using  Amadeus GDS
3. Build relationships with airline partners and Amadeus support teams
4. Communicate fluently and professionally in  English
5. Work independently and take initiative in all areas of your role",0
Software Engineering (React Native),Better,Work from home,"₹ 8,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Develop and maintain mobile applications using React Native and TypeScript.
2. Ensure cross-platform compatibility and smooth functionality.
3. Work with APIs to integrate backend services into the app.
4. Identify and fix performance issues.",0
"Software Engineering (Python, React)",Better,Work from home,"₹ 8,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Develop high-quality applications using React (TypeScript) and Python (Flask).
2. Assist with database modeling and management (SQL or NoSQL).
3. Write clean, maintainable, and efficient code following object-oriented programming principles.
4. Collaborate with the team to design and implement RESTful APIs.
5. Contribute to the creation and maintenance of automated tests to ensure code quality.
6. Participate in code reviews and provide constructive feedback.
7. Work in an Agile environment, contributing to sprint planning and retrospectives.",0
Social Media Growth Strategist & Content Creator,She Can Foundation,Ghaziabad,"₹ 15,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Develop viral content strategies aimed at rapidly increasing followers, views, and engagement across Instagram, Facebook, LinkedIn, and YouTube.
2. Create high-impact reels, posts, and stories tailored to current trends, challenges, and audience emotions to maximize shareability.
3. Plan and execute content calendars with a focus on high-frequency posting and campaign-based growth bursts.
4. Research viral trends, hooks, and formats daily and implement them creatively in NGO-related content.
5. Optimize content using data insights, A/B testing, and platform algorithms to boost organic reach and follower growth.
6. Build and manage an engaged community by replying to DMs, comments, and encouraging user-generated content and shares.",0
Embedded Systems,KRISHTEC,"Coimbatore, Erode, Madurai, Tirunelveli, Kanyakumari, Namakkal, Dharmapuri, Salem","₹ 10,000 - 15,000 /month",2 Months,"Selected intern's day-to-day responsibilities include: 

1. Deliver training programs on embedded systems and IoT technologies using provided content materials to ensure effective learning experiences for students.
2. Conduct hands-on practical sessions and laboratory exercises to give students real-world experience.
3. Provide individual guidance and mentorship to students, helping them understand concepts, solve technical problems, and complete their projects.",0
Travel & Tourism,Royal Tour & Travel India Private Limited,"Chennai, Delhi, Ghaziabad, Gorakhpur, Gurgaon, Indore, Lucknow, Hyderabad, Bhopal, Mumbai, Noida, Allahabad, Bangalore, Kanpur Dehat, Varanasi","₹ 10,000 - 22,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Assisting in preparing domestic and international tour itineraries and quotations
2. Handling client inquiries via email, phone, and WhatsApp with prompt and professional communication
3. Coordinating with airlines, hotels, and transport partners for bookings and follow-ups
4. Supporting the visa documentation process for travelers
5. Creating and posting engaging content on social media platforms for travel promotions
6. Maintaining records of bookings, client details, and lead conversions
7. Researching trending destinations and updating internal knowledge base
8. Participating in internal meetings and training sessions
9. Assisting walk-in clients at the office and providing information about available packages
10. Preparing travel brochures and presentation materials for corporate clients",0
Machine Learning,CareerNest,Work from home,"₹ 10,000 /month",2 Months,"CareerNest is a forward-thinking career development platform aimed at empowering students and professionals through practical training and career-building programs. We help individuals gain in-demand skills through real-world projects, mentorship, and hands-on experience across tech, business, and creative domains.

We are looking for passionate and curious minds to join our machine learning internship program. You will work closely with our data science team to develop, test, and deploy ML models to solve real-world problems.

Selected intern's day-to-day responsibilities include: 

1. Build and optimize machine learning models for classification, regression, clustering, etc.
2. Preprocess and clean large datasets for use in model training and evaluation.
3. Work with tools such as Python, scikit-learn, TensorFlow/PyTorch, Pandas, NumPy, etc.
4. Assist in developing APIs or dashboards to showcase model results.
5. Collaborate with cross-functional teams to deploy ML solutions.
6. Document and present findings regularly.",0
Data Specialist,AppVersal,Noida                                                                (Hybrid),"₹ 10,000 - 14,000 /month",4 Months,"Selected intern's day-to-day responsibilities include: 

1. Accurately enter data into company databases, spreadsheets, and software systems.
2. Verify and update existing data, ensuring all records are current and error-free.
Review and correct data discrepancies or errors.
3. Maintain confidentiality and handle sensitive information with discretion.
4. Organize and categorize information in a clear and accessible manner.
5. Ensure data integrity and accuracy by performing routine quality checks.
6. Assist with data analysis and report generation when necessary.
7. Collaborate with other team members to ensure data is consistent across all platforms.
8. Meet deadlines and performance targets for data entry speed and accuracy.",0
N/A,N/A,N/A,N/A,N/A,N/A,0
"Software Engineering (Python, React)",Better,Work from home,"₹ 8,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Develop high-quality applications using React (TypeScript) and Python (Flask).
2. Assist with database modeling and management (SQL or NoSQL).
3. Write clean, maintainable, and efficient code following object-oriented programming principles.
4. Collaborate with the team to design and implement RESTful APIs.
5. Contribute to the creation and maintenance of automated tests to ensure code quality.
6. Participate in code reviews and provide constructive feedback.
7. Work in an Agile environment, contributing to sprint planning and retrospectives.",0
Social Media Growth Strategist & Content Creator,She Can Foundation,Ghaziabad,"₹ 15,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Develop viral content strategies aimed at rapidly increasing followers, views, and engagement across Instagram, Facebook, LinkedIn, and YouTube.
2. Create high-impact reels, posts, and stories tailored to current trends, challenges, and audience emotions to maximize shareability.
3. Plan and execute content calendars with a focus on high-frequency posting and campaign-based growth bursts.
4. Research viral trends, hooks, and formats daily and implement them creatively in NGO-related content.
5. Optimize content using data insights, A/B testing, and platform algorithms to boost organic reach and follower growth.
6. Build and manage an engaged community by replying to DMs, comments, and encouraging user-generated content and shares.",0
Embedded Systems,KRISHTEC,"Coimbatore, Erode, Madurai, Tirunelveli, Kanyakumari, Namakkal, Dharmapuri, Salem","₹ 10,000 - 15,000 /month",2 Months,"Selected intern's day-to-day responsibilities include: 

1. Deliver training programs on embedded systems and IoT technologies using provided content materials to ensure effective learning experiences for students.
2. Conduct hands-on practical sessions and laboratory exercises to give students real-world experience.
3. Provide individual guidance and mentorship to students, helping them understand concepts, solve technical problems, and complete their projects.",0
