Title,Description,IS_Scam
Artificial Intelligence (AI),"As an artificial intelligence (AI) intern at Coding Junior, you will have the opportunity to work on cutting-edge projects and gain hands-on experience in the field of AI. If you are proficient in Python, data structures, machine learning, data science, neural networks, natural language processing (NLP), and deep learning, this internship is perfect for you.

Selected intern's day-to-day responsibilities include:

1. Assist in developing AI models and algorithms to solve complex problems.
2. Conduct research on AI technologies and trends to provide insights for project development.
3. Collaborate with team members to design and implement AI solutions.
4. Test and optimize AI models to ensure accuracy and efficiency.
5. Analyze and interpret data to extract meaningful insights for decision-making.
6. Stay up-to-date with the latest advancements in AI and implement best practices.
7. Present findings and recommendations to stakeholders in a clear and concise manner. 

Join us at Coding Junior and take your AI skills to the next level!",0
Human Resources (HR),"Selected intern's day-to-day responsibilities include:

1. Sourcing candidates and updating their profiles in the system
2. Matching candidates and conveying the job profile
3. Screening, short-listing, and scheduling an interview for the candidates
4. Handling regular follow-ups with the candidates
5. Updating systems/reports regularly",0
Brand Management,"We are looking for a branding intern to help us craft a clear and premium brand identity across our website, communication channels, and AI-driven platforms. You will work closely with our WordPress designer and business team to ensure our design, content, and messaging reflect our boutique, experience-first, and tech-forward positioning.

Selected intern's day-to-day responsibilities include:

1. Develop a mini brand guide (tone of voice, brand personality, fonts, colors)
2. Define our core messaging pillars and brand narrative
3. Assist in rewriting homepage content, taglines, and section headers
4. Collaborate with the designer to guide layout tone, aesthetics, and user flow
5. Suggest branding cues for our AI-powered concierge, chatbots, and B2B sales pitch

     What We're Looking For

1. Background in branding, marketing, design strategy, or communication
2. Strong sense of storytelling, positioning, and customer psychology
3. Ability to guide creative direction even without in-house design resources
4. Familiarity with modern D2C, travel, or lifestyle branding is a bonus
5. Comfortable working independently and asynchronously with other team members

      Bonus Skills (not mandatory)

1. Experience with Canva, Figma, or Adobe tools
2. Understanding of WordPress or Elementor layout structure
3. Ability to refine content created by AI tools (e.g., ChatGPT)",0
Technician Instrument & Controls ,"Technician Instrument &amp; ControlsLocation Deweyville, TXLocation Name: NRG Cottonwood EnergyCategory: MaintenanceState/City: US-TX-DeweyvilleType: Full Time Hourly# Openings: 1Details About this Career Opportunity:Overview:Company Profile:We deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. A Fortune 500 company is challenging the U.S. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. In addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.GENERAL SUMMARYThe Instrumentation Controls and Electrical Technician (IC&amp;E) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. The IC&amp;E Technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.PRIMARY FUNCTIONS-Safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.-Maintain complete equipment files, logs, and drawings for all designated equipment.-Assist in maintaining and controlling spare parts inventory to maintain plant reliability. Assist in physical inventories.-Participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.-Inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.-Conduct trouble shooting and analysis on DCS, PLC and GE Mark VI turbine control equipment.-Maintain all plant instrumentation and electrical test equipment.-Fully support and participate in NAES Safety and Regulatory Compliance Programs.-Complete other tasks as assigned by the Maintenance Manager or the Plant Manager.SCOPE OF RESPONSIBILITYThe IC&amp;E Technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. Decisions are made within prescribed operating and casualty procedures and guidelines. The ICE Technician encounters recurring work situations of high complexity, with occasional variations from the norm.The IC&amp;E Technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. The ICE Technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. The ICE Technician must perform duties in such a way to result in an optimum cost-benefit ratio.The IC&amp;E Technician may also be assigned the additional responsibility of Maintenance Coordinator/Planner for the site. This is a collateral assignment given to a selected maintenance department technician to assist the Operations and Maintenance Manager with the routine planning and coordination of the site equipment maintenance.The duties include:-The planning and review of the preventative, predictive and pro-active type maintenance.-A more in-depth knowledge and ability to use the CMMS system to provide the necessary review and planning to support the O&amp;M Manager in weekly work routines.-Ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.-Provide the coordination efforts necessary in support of allowing the O&amp;M Manager to provide the necessary supervision and direction of the maintenance technicians.All employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met.",1
Video Editor,"Selected intern's day-to-day responsibilities include:

1. Edit high-quality videos using Capcut, Color Correction, and Color Grading techniques.
2. Utilize Final Cut Pro to enhance video content and ensure a professional finish.
3. Create captivating motion graphics to enhance visual appeal.
4. Stay up-to-date on industry trends and new editing techniques.
5. Assist in maintaining an organized video library for easy access and storage.
6. Must have trading-related knowledge.

If you are a self-motivated individual with a passion for video editing and a strong knowledge of editing software, we want to hear from you! Join us at The Trading Fox and take your editing skills to the next level. Apply now and be a part of our dynamic team!",0
Human Resources (HR),"Selected intern's day-to-day responsibilities include: 

1. Working on a complete recruitment cycle.
2. Resolving and addressing day to day admin related issues.
3. Employee engagement.
4. Assigning work to office staff.
5. Handling the onboarding process.
6. Handling the exiting process.
7. Structured management of all the important data of the company.
8. Other administration related works.",0
Marketing,"1. Selected intern's day-to-day responsibilities include: 
2. Conduct market research to identify trends and growth opportunities.
3. Support daily marketing operations and event coordination.
4. Create and present creative social media campaigns and content.
5. Monitor social media for trends and customer feedback.
6. Analyze competitor strategies to stay ahead.
7. Use graphic design tools for engaging visuals.
8. Collaborate on strategies to boost brand awareness and engagement.
9. Track and optimize marketing campaign performance.
10. Manage and maintain a consistent online presence.",0
AWS DevOps Engineer,"Selected intern's day-to-day responsibilities include:

Handle specific responsibilities as assigned by the team.
Learn and use containerization technologies.
Work with cloud platforms such as AWS, Azure, or GCP.",0
Business Development (Sales),"Selected intern's day-to-day responsibilities include:

1. Handling the operations of multiple centers of CMPTL
2. Managing projects & other documentation
3. Managing any other support required for the teams from multiple centers
4. Coordinating with consultants
5. Setting up meetings for consultants
6. Sending mails/proposals as provided by consultants
7. Sharing information and support with consultants after discussing with your reporting consultant
8. Reviewing timesheets of consultants
9. Working on partner program management
10. Handling recruitment

Company Profile: https://cmptl.com/Collaterals/India/FranchiseModel/CMPTL_Business_Profile.pdf 

You could be involved in any of the below activities based on your skillset/requirement from the company/your availability

1. You could be involved in organizing events like https://www.cmptl.com/win/events.html
2. Organizing online meetings with the partners like this:
https://youtu.be/9qXL3igLk5M 
https://youtu.be/5rJHq9qTIdg 
3. Scheduling meetings for consultants like this - https://youtu.be/v9cuNOwBp8g
4. Organize offline events with the partners/team like this: https://drive.google.com/drive/folders/1nIImOZd1aOYx3R9PgngpeSrH7lXnXJct?usp=sharing  
5. You might have to travel for such activities or be involved in recruiting people who can join as:
Independent Business Associate - IBA - https://cmptl.com/Collaterals/India/IBA/CMPTL_IBA_Benefits_Package.pdf 
Independent Business Consultant - IBC - https://cmptl.com/Collaterals/India/IBC/CMPTL_IBC_Benefits_Package_2022-23.pdf 

Please review the above details and then revert with your interest to take things forward.",0
Payroll Clerk,Payroll Clerk Job Purpose: Responsible for Compiling and posting employee payroll data and manages hours clocked. Creates and distributes paychecks in accordance with hours worked and corrects paycheck errors.,1
Electrical Technician III,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future.The jobholder will support the Electronic / Electrical engineering group achieve their objectives within a quality critical and high reliability engineering/production environment. The jobholder will be responsible for ‘first level’ analysis to resolve system issues, failures and non-conformances within production and provide initial engineering support to rectify or escalate any issue in a timely manner. The jobholder will aid the Electronic / Electrical engineering group drive continuous improvement and perform root cause analysis of electronic printed circuit boards, systems, sub-assemblies and assemblies to component level. The jobholder will be responsible for ensuring technical conformance to specifications while ensuring all work is documented and performed in accordance with company procedures &amp; documentation. To carry out any other requirements needed to allow the company to operate efficiently.Responsibilities and tasks• To work in a safe manner at all times, to comply with all current safety legislation and Company safety policy.• To work at all times to the Company’s Quality Management System.• Evaluate and investigate electronic /electrical equipment &amp; systems, debug, repair to component level.• Action HALT, HASS and ESS testing to ensure reliability of electronic / electrical equipment used in harsh, extreme and safety critical environments • Assist the Engineers with enhanced/non-standard system test, engineering changes, process development, improvement of procedural documentation and NPI (New Product Introduction). • Support Operators/Technicians to improve quality awareness and aid standardization of processes while supporting the Electronic /Electrical group enhance overall system reliability and reduce system defects.• Demonstrate team working and ensure any work carried out by self is performed within schedule • Ensure that documentation is robust, concise, relevant and that quality systems are adhered to.• Ensure all calibrated equipment used within the build, test process is within calibration date and fully maintained for the work activities.• Ensure work area is maintained in a safe and tidy manner.• Play a pro-active role in housekeeping and continuous improvement initiatives.As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility, when required.",1
Payroll Clerk,Payroll Clerk Job Purpose: Responsible for Compiling and posting employee payroll data and manages hours clocked. Creates and distributes paychecks in accordance with hours worked and corrects paycheck errors.,1
Digital Marketing,"Are you a savvy digital marketer looking to gain hands-on experience in the industry? Zero Dimensions is looking for a dynamic Digital Marketing intern to join our team! In this role, you will have the opportunity to work on exciting campaigns and projects while learning from industry experts.

1. Manage and optimize Google AdWords campaigns to drive traffic and increase conversions.
2. Create and monitor Facebook Ads to reach target audiences and generate leads.
3. Assist in developing digital marketing strategies to enhance brand visibility and engagement.
4. Conduct market research and analysis to identify trends and opportunities in the industry.
5. Collaborate with the team to brainstorm and implement creative marketing ideas.
6. Monitor and report on campaign performance using analytics tools to track progress.
7. Stay up-to-date on the latest digital marketing trends and best practices to ensure maximum results.

If you have strong analytical skills, a passion for digital marketing, and a desire to learn and grow in a fast-paced environment, we want to hear from you! Apply now to kickstart your career in digital marketing with Zero Dimensions.",0
Graphic Design,"As a Graphic Design intern at TVL Media, you will have the opportunity to work on various exciting projects and gain valuable hands-on experience in the media industry. Your creativity and skills with Adobe Creative Suite will be put to the test as you collaborate with our talented team to create visually stunning designs that captivate our audience. This is the perfect opportunity for you to showcase your talents, build your portfolio, and kick start your career in graphic design.

1. Collaborate with the design team to brainstorm and develop creative concepts for projects
2. Create eye-catching graphics and visual content for digital and print media
3. Assist in the design and layout of marketing materials, such as brochures, posters, and advertisements
4. Work on video editing and motion graphics projects for various digital platforms
5. Ensure brand consistency across all design projects
6. Stay up-to-date on industry trends and best practices in graphic design
7. Take on additional tasks and projects as needed to support the design team and company goals.",0
Data Entry Clerk / Administrative Assistant,"Experienced, reliable team members are needed for our Data Entry Clerk / Administrative Assistant needed! We are currently searching for candidates with previous experience and/or motivated quick learners. These positions require a friendly phone personality, great attention to detail and the ability to work quickly and efficiently. This is a customer contact position that requires patience, a great phone demeanor, excellent verbal and written communications, and reliable work attendance.Key Aspects of Position:Provide extraordinary service to our customers at all times.Work as part of a Customer Service team.Other duties as assigned.",1
Content Writing,"Selected intern's day-to-day responsibilities include:

1. Create engaging and informative content for our website, social media platforms, and email campaigns.
2. Utilize SEO best practices to increase our online visibility and drive organic traffic to our website.
3. Collaborate with our marketing team to develop content strategies that align with our brand's voice and objectives.
4. Conduct research to stay up-to-date on industry trends and produce relevant, high-quality content.
5. Write compelling blog posts, articles, and case studies that resonate with our target audience.
6. Assist in the creation of marketing materials, including brochures, flyers, and product descriptions.
7. Monitor and analyze the performance of our content to identify areas for improvement and optimization.

If you're a creative and ambitious individual looking to gain hands-on experience in content writing and digital marketing, apply now to be a part of our innovative and growing team!",0
Project Controller Oil and Gas Approval Center/Houston,"Position Summary:EXPRO is seeking a Project Controller for the Oil &amp; Gas Approval Center in Houston. The Project Controller will report to the Head of Oil &amp; Gas Business Support. In this role the Project Controller is responsible for ensuring strong financial control of projects as well as being involved in analysis for the section. This includes compliance, computing, classifyin g , recording and verifying numerical data for use in maintaining accounting records by performing the following key activities.Job Responsibilities: Ensure time &amp; expense statements are submitted and processed each week according to deadlines and proper control/approval proceduresEnsure that all new projects set up from Affinitas are input into TEAM with the correct financial data and ensure proper contract documentationBasware: processing of internal invoices and project payablesProcessing of subcontractor invoicesInternal and external invoicing for all projects within deadlines for the primary units and assistance if needed with the secondary units, and achieve WIP below 20 daysClient credit checks and assistance with proposal financial reviews as needed or requestedAssist with training project managers needed in TEAM and in better understanding the monthly project reportsGenerate and evaluate monthly wip reportsFinancial analysis of projects and unit financialsMonthly project accruals as required to Business ControllerMonthly follow-up of AR to achieve below 60 daysCompiles and sorts documents, such as invoices and expense statements, substantiating business transactions.Audits invoices against purchase orders, researches discrepancies, and approves for payment.Codes data for input to financial data processing system according to company procedures.Assists employees and customers by answering questions related to accounts, procedures, projects, financials and services.Assist Department Controller with reporting and analysis covering monthly and quarterly reporting of financials as well as forecasting of financial figures.About Expro:Expro provides services and products that measure. We improve, control and process flow from high-value oil and gas wells, from exploration and appraisal through to mature field production optimisation and enhancement.With a specific focus on offshore, deepwater and other technically challenging environments, we provide a range of mission critical services across three key areas:Well Test &amp; Appraisal ServicesSubsea, Completion &amp; Intervention ServicesProduction ServicesOur vision is to be the market leader in well flow management, using the industry’s best people, to deliver the highest standards of safety, quality and personalised customer service.We provide a range of solutions including:Exploration &amp; Appraisal TestingSubsea Safety SystemsDrilling &amp; CompletionFlowback &amp; Clean-upProductionWell Integrity &amp; InterventionExpro’s 40+ years of experience and innovation empowers the company to offer tailor-made solutions for customers across the energy sector. With over 5,400 employees in over 50 countries, Expro offers a truly global service solution.",1
Payroll Data Coordinator Positions - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
Creative Design,"Are you a creative design enthusiast eager to make a positive impact in the world? Aasha Infinite Foundation is seeking a talented Creative Design intern to join our team! As a UI/UX Design specialist with skills in Adobe Illustrator and Web Design, you will have the opportunity to contribute to our mission of empowering underprivileged communities through innovative solutions. 

Key Responsibilities:
1. Collaborate with the design team to create engaging user interfaces and experiences for our digital platforms
2. Translate project requirements into visually appealing designs that align with our brand identity
3. Conduct user research and testing to optimize the usability of our websites and applications
4. Assist in the development of wireframes, prototypes, and mockups for new projects
5. Work closely with developers to ensure design concepts are implemented accurately
6. Stay up-to-date on design trends and best practices to enhance our online presence
7. Support the marketing team with creating graphics and visuals for promotional materials 

If you are passionate about design and social impact, this internship is the perfect opportunity to hone your skills and make a difference. Apply now to join our dynamic team at Aasha Infinite Foundation!",0
Sales and Marketing,"Are you a dynamic and driven individual with a passion for sales and marketing? Join us at JAY SHREE TEXTILES as a Sales and Marketing intern! We are looking for someone with Hindi proficiency (spoken) to support our sales team and marketing efforts. This is a hands-on opportunity for you to gain valuable experience in a fast-paced environment.

Selected intern's day-to-day responsibilities include:

1. Assist the sales team.
2. Support marketing campaigns and initiatives
3. Conduct market research and analysis
4. Conduct regular client visits.
5. Provide sales support through customer communication and follow-ups & and visits.
6. Help in organizing and attending sales and marketing meets.
7. Self-learning and staying up-to-date with industry trends and best practices

If you are eager to learn, have excellent communication skills, and are ready to take on new challenges, apply now to be part of our innovative team at JAY SHREE TEXTILES!",0
Investment Analysis,"Selected intern's day-to-day responsibilities include:

1. Understanding the fundamentals like GDP, inflation, interest rate, etc., and their impact on currencies
2. Analyzing the price pattern and technical indicators to predict future movement in currency prices
3. Working on advising, acquiring, and generating returns for the clients",0
Media & Public Relations (PR),"The responsibilities include, but are not limited to:

1. Meeting with individuals, devotees, government, organizations, and institutions
2. Travel to various Heritage monuments located inside and outside Delhi.
3. Organizing and attending offline and online meetings.
4. Communications
5. Publicity campaigns
6. Social media campaign
7. Content creation
8. Press releases
9. Videography and Photography
10. Coordination with various stakeholders
11. Social media video updates

Please note that the above are only indicative, and additional responsibilities may also be given based on organizational necessities. The work involves travel, for which travel expenses will be reimbursed.

Internship Period: 3 months
Job Types: Full-time, Internship
Pay: From    10,000.00 per month
Schedule: Day shift
Language:
1. English (Required)
2. Hindi (Required)
Willingness to travel: 25% (Required)
Work Location: In person",0
Management Trainee,"Selected intern's day-to-day responsibilities include: 

1. Support professionals in enhancing their job search approach by improving personal branding strategies, such as optimizing LinkedIn profiles and aligning career goals with current hiring trends.
2. Conduct detailed research on evolving job market patterns, industry shifts, and employer recruitment behaviors to inform internal strategies and client advisory.
3. Monitor and analyze job application metrics, track client journey progress, and generate insights to boost placement and conversion rates.
4. Assist in improving internal operations by identifying inefficiencies, recommending workflow enhancements, and supporting implementation of process improvements.
5. Collaborate with cross-functional teams to co-create and implement innovative operational solutions aimed at elevating the overall client and stakeholder experience.",0
Lead Generation,"Selected intern's day-to-day responsibilities include: 

1. Conduct market research to identify potential leads and target industries
2. Generate and qualify leads via calls, emails, LinkedIn, and other channels
3. Maintain and update lead database (CRM tools)
4. Coordinate with the sales team to pass on qualified leads
5. Meet weekly and monthly lead generation targets
6. Understand and represent the company's products/services effectively",0
Customer Assistant,Job Description: We are looking for customer assistants who will work in our company. They should have at least 2 months experience in the post. It also provides training (2 weeks with paid wages). Now we have the opportunity to obtain contracts. All who wish to please send your CV to our email: #EMAIL_fefd5a4270dfb95f87b69aba0b256c80756e3fabb89ee777948ba9d6f6fc84df#. You will contact one of our managers.,1
Process Validation Project Manager ,"Responsibility for the project management of assembly and packaging processes for manufacturing Sample Collection products/devices.Responsibility for supporting new product introductions with the concepting, prototyping and commercialization of new equipment technology.Works closely with Design, R&amp;D Marketing and manufacturing plants to implement manufacturing technology.Under the Engineering Manager Assembly, Contractor will be responsible for the project management of the concepting, prototyping, design, build and commercialization of new process equipment.Develops and executes the technical and business strategy to accomplish project goals.Provides the process technology leadership for assembly on the multifunctional project teams focused on new product implementation.Supports manufacturing plants in cost reduction, standardization and equipment upgrade projects.Develops capital and product cost analysis; writes and submits capital appropriations;",1
Food Processing Engineering,"Selected intern's day-to-day responsibilities include: 

1. Assisting in the end-to-end production process of fruit cream, including mixing, pasteurization, portioning, and packaging while ensuring hygiene and safety protocols.
2. Supporting quality control activities such as monitoring pH levels, observing microbial behavior, and maintaining batch-wise production and cleanliness records.
3. Participating in trial runs for new product variants, helping improve shelf life, texture, and flavor under the guidance of the production and R&D team.",0
Office Administration,"Toothrocket is seeking a dynamic Office Administration Intern to support our day-to-day business activities and help keep our office running smoothly. This is a great opportunity to understand business operations, coordination, and administration in a professional setting.

Selected intern's day-to-day responsibilities include:

1. Assist in managing day-to-day office operations, including scheduling, correspondence, and maintaining organized records.
2. Support internal coordination between different departments such as marketing, HR, and operations.
3. Handle basic data entry, document management, and updating of internal trackers (using Excel or Google Sheets).
4. Help with meeting coordination, taking notes, and following up on action points.
5. Maintain office supplies inventory and assist with procurement and vendor coordination.
6. Assist in onboarding new team members and maintaining employee records.
7. Support in organizing internal events, team activities, and client visits.",0
Content and Social Media Marketing,"Selected intern's day-to-day responsibilities include: 

1. Manage daily posting and scheduling across social media platforms.
2. Conduct outreach to influencers, collaborators, and communities for partnerships or visibility.
3. Use AI tools to generate images and enhance visual storytelling.
4. Create engaging content (captions, reels, carousels, infographics) aligned with brand voice.",0
Inside Sales,"Selected intern's day-to-day responsibilities include:

1. Identify and research potential clients in target markets.
2. Reach out to prospective customers via calls, emails, and meetings.
3. Deliver compelling product/service presentations to potential clients.
4. Maintain long-term relationships with clients to generate repeat business and referrals.
5. Prepare proposals, negotiate pricing, and close deals in alignment with company policies.
6. Monitor market trends and competitor activities to inform strategy.
7. Maintain accurate records of sales activities and generate regular reports.",0
Operations - WFH,"As a Operation Intern representative at Turito, you will play a pivotal role in ensuring a seamless and enriching experience for both parents and teachers on our online education platform. Your primary responsibility will be to address queries, concerns, and provide assistance to parents and teachers, thereby contributing to the growth of positive relationships with our valued customers.

Selected intern's day-to-day responsibilities include:

1.    Foster strong relationships with parents and teachers to enhance the overall value of their engagement with Turito.
2.  Serve as a knowledgeable point of contact, adept at resolving queries and concerns related to the online platform.
3.  Coordinate and execute class modifications, collaborating with the tech team to manage backend adjustments for ongoing classes.
4.  Create and maintain daily trackers for student, teacher, and operational teams, while managing the flow of inbound and outbound emails.
5.  Engage with parents and teachers via chats, phone and email, offering responsive and effective solutions to their inquiries.
6.  Identify and understand challenges faced by parents, students, and counselors, providing insights to enhance our offerings.
7.  Maintain a high standard of customer service by promptly addressing queries and ensuring timely resolutions.
8.  Actively seek and integrate feedback from parents and teachers to drive improvements in our products and processes.
9.  Contribute to exceptional program delivery, focusing on customer retention and reducing churn rates.
10.  Regularly update and manage daily tasks in alignment with evolving operational needs and priorities.

Requirements:

1.  Excellent communication skills, both written and verbal.
2.  Strong interpersonal skills and a natural inclination for building relationships.
3.  Problem-solving abilities to address customer concerns effectively.
4.  Ability to multitask and manage daily operational responsibilities.
5. Proficiency in using relevant software and tools.
6.  Prior customer support experience is a plus.",0
Call Center Representative,"Want to work in a fast-paced, dynamic environment where your efforts are rewarded?We are hiring FULL TIME call center sales representatives in Stratford, NJ. Just a 20 min drive or ride on the PATCO Speedline from downtown Philly.The average rep earns $15/hour, and our most successful reps earn $20+/hour.REGISTER FOR AN INTERVIEW-Call us: #PHONE_0814f032f01156c9557f6d4239ae10ac57a7260aada4d863cb1db34574f86466#, ext 1-Register online at #URL_318d3b93e27acec288f845b4f8ddc786c2afcf796bc3b547a1e942902a4fb881#WANT MORE INFO?-Call us: #PHONE_0814f032f01156c9557f6d4239ae10ac57a7260aada4d863cb1db34574f86466#, ext 3-Email us: jobsATworkamericaDOTco (Not .com)",1
CUSTOMER OPERATION MANAGER," Customer Care Operations Manager is responsible for day to day operations in a 24 hour operation that handles world wide telephone and e-mail communication to both hotels and customers for reservations. These include requests for support on individual reservations and/or cancellations, requests for additional information, or complaints.  Identify, assess, confront and resolve performance issues with staff;  Drive coaching/monitoring process in conjunction with the training department;  Identify needs for new and recurrent training. ",1
Graphic Design,"Company: Pace Pivot Pvt Ltd
Location: Remote/Hybrid (India)
Experience: 0-2 years
Portfolio Required: Behance or similar

About Pace Pivot Pvt Ltd
Pace Pivot is a fast-growing creative and performance agency focused on scaling brands on Amazon. We specialize in high-converting product listing images, A+ and Premium A+ content, and brand stores that blend powerful storytelling with strategic design.

We're looking for a Graphic Designer who may be a fresher but has strong creative instincts, a solid design hand, and a killer portfolio to match. If you're obsessed with e-commerce visuals, understand what drives a customer to ""Add to Cart,"" and love building scroll-stopping visuals, this role is for you.

What You'll Do
Design Amazon product listing images that showcase product features, benefits, and usage with clarity and visual appeal.
Create A+ and Premium A+ Content modules that bring a brand's story to life while aligning with Amazon's guidelines.
Collaborate with content and strategy teams to develop creative briefs and execute compelling visuals for product pages, brand storefronts, and campaign creatives.
Maintain a strong sense of design consistency across all assets while optimizing for both desktop and mobile views.
Work on infographics, lifestyle mockups, and brand storytelling through visuals for multiple categories.
Ensure all creatives meet Amazon's compliance and image policy standards.

What You Must Have
A strong design portfolio (Behance or equivalent) showing e-commerce work, especially product listing images, A+ content, or related visuals.
Proficiency in Adobe Photoshop, Illustrator. Bonus if you know After Effects, Premiere Pro, or Figma.
A solid grasp of visual hierarchy, layout design, typography, and e-commerce best practices.
Awareness of how visuals drive buying decisions on Amazon.
Ability to handle multiple brands and deliver within tight timelines.
Willingness to take feedback, iterate, and learn fast.

Good To Have
Internship or freelance experience in Amazon-first content or D2C brands.
Experience designing for mobile-first product pages.
Understanding of Amazon image guidelines, A+ compliance, and brand store layouts.

Familiarity with lifestyle mockups, 3D renders, or AI-powered design tools.

Why Work With Pace Pivot?
Work on Live Brands: Build your portfolio fast with real-time brand projects.
Training & Mentorship: Learn from senior Amazon strategists and creative leads.
Creative Growth: We encourage you to experiment, push boundaries, and try new design approaches.
Fast-Paced Learning: Multiple categories, multiple styles   no two days are the same.
Collaborative Culture: We win together. Feedback, support, and innovation are part of our DNA.

If you're excited to create visuals that convert, tell a story, and make a brand shine   send us your work.
We're hiring now. Let's build something amazing.",0
Startup Growth & Operations Intern (Digital + Marketing),"Selected intern's day-to-day responsibilities include:

1. Assisting the founder with daily business operations (customer data, delivery follow-ups, updates)
2. Helping in running and analyzing Meta Ads (Facebook/Instagram) and exploring creative ad strategies
3. Doing market research about competitor brands, pricing, marketing angles, and customer behavior
4. Helping in content idea generation, creative writing for short ads, WhatsApp messages, and landing page content
5. Managing sheets, basic documentation, and investor pitch tracking (if needed)
6. Acting as a smart virtual assistant who adds ideas, solutions, and removes workload from the founder.",0
Video Anchor & Editor,"Are you confident in front of the camera and skilled behind it?We're looking for a versatile Video Anchor & Editor Intern. 

Selected intern's day-to-day responsibilities include:

1. Deliver scripts confidently, improvise naturally, and engage viewers as the face of our video content. 
2. Produce creative, on-brand Reels, Shorts, and UGC-style videos using tools like Premiere Pro, Final Cut Pro, or CapCut   adding transitions, effects, captions, and music.
3. Collaborate with the team to manage workflows, schedule shoots, and organize video assets.",0
Staff Required For Part-Time Cash Positions.,"Staff Required For Part-Time Cash Positions.You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $400 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",1
Project Manager: Engineer,"We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs.Essential Duties and Responsibilities:* Develop budget and schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Adequate knowledge in project deliverables like Process Flow Diagram, PID, Area classification drawing, electrical one line drawing, etc.* Able to develop the project execution plan.* Interface with the client and develop rapport.* Request appropriate resources to execute the project work.* Manage the project personnel.* Effective communication skills - with the client and inter discipline personnel within the company.* Project tracking/monitoring - budget and schedule with the help of project control personnel.* Perform engineering calculations to support the project* Follow and implement standard project procedures per ProU Project Procedure Manual* Ability to relate project drawings with field construction.* Soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully.* Ability to control the quality of project deliverables.",1
 Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"This job requires you to have the ability to operate keyboard or other data entry device to enter data into computer or onto magnetic tape or disk for subsequent entry. Inputs alphabetic and numeric information from credit card applications onto an automated credit processing system, other clerical duties as required.Follows set procedures and meets specific throughput standards. Able to work under deadline pressure with minimum supervision, read large dollar figures for long periods of time. ",1
Python Developer,"We are looking for a talented Python Developer intern to join our team at Maxgen Technologies Private Limited. If you are passionate about Python, Django, and machine learning, this is the perfect opportunity for you to gain hands-on experience in a dynamic work environment.

Key Responsibilities:
1. Collaborate with senior developers to design and develop Python-based applications.
2. Implement Machine Learning algorithms and models to enhance the functionality of our software solutions.
3. Work on Django framework to create efficient and scalable web applications.
4. Conduct thorough testing and debugging of code to ensure high-quality performance.
5. Assist in the deployment and maintenance of software applications in production environments.
6. Stay updated on latest trends and technologies in Python programming and machine learning.
7. Contribute innovative ideas and solutions to enhance our product offerings and improve user experience. 

If you are eager to learn and grow as a Python Developer, apply now and kickstart your career with us!",0
